,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
177,4105012,2023-12-07T16:30:00.000+01:00,356,anyVehicle,57.6,carOrLightVehicle,12.0
178,4106011,2023-12-07T16:30:00.000+01:00,160,anyVehicle,46.08,carOrLightVehicle,7.0
179,4106021,2023-12-07T16:30:00.000+01:00,164,anyVehicle,46.44,carOrLightVehicle,7.0
180,4107011,2023-12-07T16:30:00.000+01:00,160,anyVehicle,57.24,carOrLightVehicle,6.0
181,4107012,2023-12-07T16:30:00.000+01:00,143,anyVehicle,64.08,carOrLightVehicle,4.0
182,4107021,2023-12-07T16:30:00.000+01:00,236,anyVehicle,18.72,carOrLightVehicle,33.0
183,4107022,2023-12-07T16:30:00.000+01:00,284,anyVehicle,22.68,carOrLightVehicle,28.0
184,4108011,2023-12-07T16:30:00.000+01:00,55,anyVehicle,41.04,carOrLightVehicle,4.0
185,4108012,2023-12-07T16:30:00.000+01:00,16,anyVehicle,43.2,carOrLightVehicle,1.0
186,4108021,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
187,4108022,2023-12-07T16:30:00.000+01:00,103,anyVehicle,34.2,carOrLightVehicle,11.0
188,4110011,2023-12-07T16:30:00.000+01:00,85,anyVehicle,44.28,carOrLightVehicle,7.0
189,4110012,2023-12-07T16:30:00.000+01:00,117,anyVehicle,45.72,carOrLightVehicle,9.0
190,4110021,2023-12-07T16:30:00.000+01:00,158,anyVehicle,37.44,carOrLightVehicle,15.0
191,4110022,2023-12-07T16:30:00.000+01:00,200,anyVehicle,39.96,carOrLightVehicle,16.0
192,4111011,2023-12-07T16:30:00.000+01:00,162,anyVehicle,24.12,carOrLightVehicle,37.0
193,4111012,2023-12-07T16:30:00.000+01:00,41,anyVehicle,28.8,carOrLightVehicle,13.0
194,4111013,2023-12-07T16:30:00.000+01:00,62,anyVehicle,47.16,carOrLightVehicle,4.0
195,4111014,2023-12-07T16:30:00.000+01:00,81,anyVehicle,48.6,carOrLightVehicle,5.0
196,4112011,2023-12-07T16:30:00.000+01:00,77,anyVehicle,33.48,carOrLightVehicle,9.0
197,4112012,2023-12-07T16:30:00.000+01:00,96,anyVehicle,36.0,carOrLightVehicle,10.0
198,4115011,2023-12-07T16:30:00.000+01:00,29,anyVehicle,43.56,carOrLightVehicle,2.0
199,4115012,2023-12-07T16:30:00.000+01:00,105,anyVehicle,43.2,carOrLightVehicle,8.0
200,4118011,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
201,4118012,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
202,4118013,2023-12-07T16:30:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
203,4118014,2023-12-07T16:30:00.000+01:00,82,anyVehicle,48.24,carOrLightVehicle,5.0
204,4119011,2023-12-07T16:30:00.000+01:00,80,anyVehicle,0.0,carOrLightVehicle,33.0
205,4119012,2023-12-07T16:30:00.000+01:00,101,anyVehicle,0.0,carOrLightVehicle,49.0
206,4119013,2023-12-07T16:30:00.000+01:00,46,anyVehicle,0.0,carOrLightVehicle,10.0
207,4119014,2023-12-07T16:30:00.000+01:00,182,anyVehicle,0.0,carOrLightVehicle,24.0
208,4120011,2023-12-07T16:30:00.000+01:00,151,anyVehicle,43.92,carOrLightVehicle,8.0
209,4120021,2023-12-07T16:30:00.000+01:00,317,anyVehicle,41.76,carOrLightVehicle,18.0
210,4120022,2023-12-07T16:30:00.000+01:00,277,anyVehicle,51.84,carOrLightVehicle,12.0
211,4120031,2023-12-07T16:30:00.000+01:00,348,anyVehicle,27.0,carOrLightVehicle,32.0
212,4120041,2023-12-07T16:30:00.000+01:00,77,anyVehicle,42.48,carOrLightVehicle,4.0
213,4121011,2023-12-07T16:30:00.000+01:00,217,anyVehicle,14.04,carOrLightVehicle,40.0
214,4121012,2023-12-07T16:30:00.000+01:00,203,anyVehicle,39.96,carOrLightVehicle,13.0
215,4121021,2023-12-07T16:30:00.000+01:00,189,anyVehicle,54.36,carOrLightVehicle,8.0
216,4121022,2023-12-07T16:30:00.000+01:00,311,anyVehicle,55.08,carOrLightVehicle,12.0
